state,id,year,abbr,came,went,net,pop,netperc
Alabama,01,2005,AL,111775,97191,"14,584","4,569,805",0.32
Alabama,01,2006,AL,111775,97191,"14,584","4,628,981",0.32
Alabama,01,2007,AL,138115,113085,"25,030","4,672,840",0.54
Alabama,01,2008,AL,121505,100849,"20,656","4,718,206",0.44
Alabama,01,2009,AL,124658,106681,"17,977","4,757,938",0.38
Alabama,01,2010,AL,108951,99850,"9,101",4729509,0.19
Alabama,01,2011,AL,118295,106841,"11,454",4745278,0.24
Alabama,01,2012,AL,109218,105219,"3,999",4764428,0.08
Alabama,01,2013,AL,104414,97512,"6,902",4781296,0.14
Alabama,01,2014,AL,108239,111705,"-3,466",4791931,-0.07
Alabama,01,2015,AL,"114,927","101,055","13,872","4,801,599",0.29
Alabama,01,2016,AL,"122,555","99,941","22,614","4,810,126",0.47
Alabama,01,2017,AL,"112,279","102,354","9,925","4,819,343",0.21
Alabama,01,2018,AL,"110,258","98,194","12,064","4,832,358",0.25
Alabama,01,2019,AL,"105,118","98,845","6,273","4,849,509",0.13
Alabama,01,2021,AL,"116,175","104,528","11,647","4,989,797",0.23
Alabama,01,2022,AL,"139,574","102,894","36,680","5,022,366",0.73
Alaska,02,2005,AK,31375,53714,"-22,339","666,946",-3.35
Alaska,02,2006,AK,31375,53714,"-22,339","675,302",-3.31
Alaska,02,2007,AK,36583,63013,"-26,430","680,300",-3.89
Alaska,02,2008,AK,40207,85376,"-45,169","687,455",-6.57
Alaska,02,2009,AK,40474,71568,"-31,094","698,895",-4.45
Alaska,02,2010,AK,36345,94848,"-58,503",702974,-8.32
Alaska,02,2011,AK,36128,89228,"-53,100",711962,-7.46
Alaska,02,2012,AK,84125,33440,"50,685",721186,7.03
Alaska,02,2013,AK,34544,99931,"-65,387",725193,-9.02
Alaska,02,2014,AK,37960,92787,"-54,827",725206,-7.56
Alaska,02,2015,AK,"34,730","40,588","-5,858","727,862",-0.80
Alaska,02,2016,AK,"32,148","42,074","-9,926","731,760",-1.36
Alaska,02,2017,AK,"30,199","42,977","-12,778","730,874",-1.75
Alaska,02,2018,AK,"32,443","39,246","-6,803","727,164",-0.94
Alaska,02,2019,AK,"34,068","50,134","-16,066","722,063",-2.23
Alaska,02,2021,AK,"31,583","42,291","-10,708","723,949",-1.48
Alaska,02,2022,AK,"36,692","32,755","3,937","724,196",0.54
Arizona,04,2005,AZ,288960,157544,"131,416","5,839,077",2.25
Arizona,04,2006,AZ,288960,157544,"131,416","6,029,141",2.18
Arizona,04,2007,AZ,262932,189415,"73,517","6,167,681",1.19
Arizona,04,2008,AZ,241480,187722,"53,758","6,280,362",0.86
Arizona,04,2009,AZ,226457,197213,"29,244","6,343,154",0.46
Arizona,04,2010,AZ,223324,177056,"46,268",6332786,0.73
Arizona,04,2011,AZ,223748,212045,"11,703",6402301,0.18
Arizona,04,2012,AZ,206896,234248,"-27,352",6468907,-0.42
Arizona,04,2013,AZ,236522,183270,"53,252",6543362,0.81
Arizona,04,2014,AZ,250409,203810,"46,599",6651964,0.70
Arizona,04,2015,AZ,"254,837","184,612","70,225","6,747,595",1.04
Arizona,04,2016,AZ,"274,719","192,291","82,428","6,851,836",1.20
Arizona,04,2017,AZ,"262,165","163,322","98,843","6,935,358",1.43
Arizona,04,2018,AZ,"275,003","179,781","95,222","7,090,137",1.34
Arizona,04,2019,AZ,"254,265","173,741","80,524","7,200,620",1.12
Arizona,04,2021,AZ,"265,805","176,783","89,022","7,202,745",1.24
Arizona,04,2022,AZ,"283,337","204,970","78,367","7,285,247",1.08
Arkansas,05,2005,AR,96872,66074,"30,798","2,781,097",1.11
Arkansas,05,2006,AR,96872,66074,"30,798","2,821,761",1.09
Arkansas,05,2007,AR,89701,83680,"6,021","2,848,650",0.21
Arkansas,05,2008,AR,88773,77978,"10,795","2,874,554",0.38
Arkansas,05,2009,AR,85857,65829,"20,028","2,896,843",0.69
Arkansas,05,2010,AR,79214,64264,"14,950",2888304,0.52
Arkansas,05,2011,AR,70374,77226,"-6,852",2906632,-0.24
Arkansas,05,2012,AR,65060,76948,"-11,888",2912680,-0.41
Arkansas,05,2013,AR,70629,76963,"-6,334",2923642,-0.22
Arkansas,05,2014,AR,74889,65198,"9,691",2931123,0.33
Arkansas,05,2015,AR,"81,594","76,800","4,794","2,938,341",0.16
Arkansas,05,2016,AR,"71,940","72,142",-202,"2,949,650",-0.01
Arkansas,05,2017,AR,"79,984","69,850","10,134","2,968,395",0.34
Arkansas,05,2018,AR,"74,872","69,724","5,148","2,975,961",0.17
Arkansas,05,2019,AR,"60,025","64,673","-4,648","2,989,054",-0.16
Arkansas,05,2021,AR,"76,108","62,338","13,770","2,990,311",0.46
Arkansas,05,2022,AR,"86,393","74,408","11,985","3,007,872",0.40
California,06,2005,CA,449212,718417,"-269,205","35,827,943",-0.75
California,06,2006,CA,449212,718417,"-269,205","36,021,202",-0.75
California,06,2007,CA,491657,668021,"-176,364","36,250,311",-0.49
